Designator,Mid X,Mid Y,Rotation,Layer
D1,6.25,57.0,0.0,top
D2,6.25,50.5,0.0,top
D3,11.25,57.0,0.0,top
D4,18.25,50.5,0.0,top
D5,16.25,57.0,0.0,top
D6,30.25,50.5,0.0,top
D7,21.25,57.0,0.0,top
D8,42.25,50.5,0.0,top
J1,48.75,59.5,180.0,top
J2,37.75,59.5,180.0,top
J3,12.25,11.25,0.0,top
J4,37.75,11.25,0.0,top
K1,8.5,38.5,270.0,top
K2,20.5,38.5,270.0,top
K3,32.5,38.5,270.0,top
K4,44.5,38.5,270.0,top
R1,27.25,63.0,180.0,top
R2,27.25,61.5,180.0,top
R3,27.25,60.0,180.0,top
R4,27.25,58.5,180.0,top
RV1,7.25,23.0,0.0,top
RV2,19.25,23.0,0.0,top
RV3,31.25,23.0,0.0,top
RV4,43.25,23.0,0.0,top
